Running the Sequence algorithm...count: 1
Inside Sequence Algorithm...
Light 1: RED on
Light 2: GREEN off
Light 3: WHITE off
Light 4: RED off
Light 5: GREEN off
Light 6: WHITE off
Light 7: RED off
Light 8: GREEN off
Light 9: WHITE off
Light 10: RED off
Light 11: GREEN off
Light 12: WHITE off
Light 13: RED off
Light 14: GREEN off
Light 15: WHITE off
Light 16: RED off
Light 17: GREEN off
Light 18: WHITE off
Light 19: RED off
Light 20: GREEN off

Running the Sequence algorithm...count: 2
Inside Sequence Algorithm...
Light 1: RED off
Light 2: GREEN on
Light 3: WHITE off
Light 4: RED off
Light 5: GREEN off
Light 6: WHITE off
Light 7: RED off
Light 8: GREEN off
Light 9: WHITE off
Light 10: RED off
Light 11: GREEN off
Light 12: WHITE off
Light 13: RED off
Light 14: GREEN off
Light 15: WHITE off
Light 16: RED off
Light 17: GREEN off
Light 18: WHITE off
Light 19: RED off
Light 20: GREEN off

Running the Sequence algorithm...count: 3
Inside Sequence Algorithm...
Light 1: RED off
Light 2: GREEN off
Light 3: WHITE on
Light 4: RED off
Light 5: GREEN off
Light 6: WHITE off
Light 7: RED off
Light 8: GREEN off
Light 9: WHITE off
Light 10: RED off
Light 11: GREEN off
Light 12: WHITE off
Light 13: RED off
Light 14: GREEN off
Light 15: WHITE off
Light 16: RED off
Light 17: GREEN off
Light 18: WHITE off
Light 19: RED off
Light 20: GREEN off

Running the Sequence algorithm...count: 4
Inside Sequence Algorithm...
Light 1: RED off
Light 2: GREEN off
Light 3: WHITE off
Light 4: RED on
Light 5: GREEN off
Light 6: WHITE off
Light 7: RED off
Light 8: GREEN off
Light 9: WHITE off
Light 10: RED off
Light 11: GREEN off
Light 12: WHITE off
Light 13: RED off
Light 14: GREEN off
Light 15: WHITE off
Light 16: RED off
Light 17: GREEN off
Light 18: WHITE off
Light 19: RED off
Light 20: GREEN off

Running the Sequence algorithm...count: 5
Inside Sequence Algorithm...
Light 1: RED off
Light 2: GREEN off
Light 3: WHITE off
Light 4: RED off
Light 5: GREEN on
Light 6: WHITE off
Light 7: RED off
Light 8: GREEN off
Light 9: WHITE off
Light 10: RED off
Light 11: GREEN off
Light 12: WHITE off
Light 13: RED off
Light 14: GREEN off
Light 15: WHITE off
Light 16: RED off
Light 17: GREEN off
Light 18: WHITE off
Light 19: RED off
Light 20: GREEN off

Running the Sequence algorithm...count: 6
Inside Sequence Algorithm...
Light 1: RED off
Light 2: GREEN off
Light 3: WHITE off
Light 4: RED off
Light 5: GREEN off
Light 6: WHITE on
Light 7: RED off
Light 8: GREEN off
Light 9: WHITE off
Light 10: RED off
Light 11: GREEN off
Light 12: WHITE off
Light 13: RED off
Light 14: GREEN off
Light 15: WHITE off
Light 16: RED off
Light 17: GREEN off
Light 18: WHITE off
Light 19: RED off
